State Name (state_name),State Code (state_code),Forest division name (division),Forest range name (range),Forest Conservation Act project (fca_project),Year of initiation of project (fca_project_year),Name of the site (site_name),Area diverted in hectares (area_diverted),Type of land (land_type),Updated on (updated_on),Updated by (updated_by),Diverted land GPS identifier (diverted_land_gps_id),
Tripura,16,Kailashahar,Kailashahar,Diversion of 0.971 ha forest land for establishment of Border Out Post[BOP] by the BSF at Rajkandi under Kailashahar Forest Division.North Tripura. [1050],2008,Establishment of Border Out Post[BOP]by the BSF at Rajkandi.,0.971,Protected Forest (PF),21-08-2013,TR State Admin,937,
Uttar Pradesh,9,Social Forestry Division Basti,Khalilabad,WIDENING OF 4 LANING IN KM.143.00 TO 240.600 OF NH-28 [23806],2005,NH-28 KM. 233-236,5.82,Proposed Protected Forest (Proposed PF),31-12-2014,DFO Social Forestry Division Basti,2880,
Punjab,3,Amritsar,Ajnala,"APPROACH ROAD TO M/S AMIR CHAND, JAGDISH KUMAR EXPORT LTD., VILLAGE MAHILAWALA NEAR KUKADAWALA, AJNALA ROAD KM. 15-16, R/S [20263]",2011,"APPROACH ROAD TO M/S AMIR CHAND, JAGDISH KUMAR EXPORT LTD., VILLAGE MAHILAWALA NEAR KUKADAWALA, AJNA",0.012,Protected Forest (PF),16-10-2014,DFO Amritsar,2279,
Punjab,3,Patiala,Samana,CONST. OF 66 K.V TGR. LINE FROM SAMANA-RAJLA LINE [23059],2005,CONST. OF 66 K.V TGR. LINE FROM SAMANA-RAJLA LINE,0.156,Protected Forest (PF),18-11-2015,DFO Patiala,6724,
Haryana,6,Kaithal,Kaithal,ACCESS TO PRIVATE PROPERTY M/S SENERGY BUILD HOME PVT. LTD. ON KAITHAL-KURUKSHETRA ROAD KM 2-3 R/S FT. DIVN. KAITHAL [18613],2010,M/S SENERGY BUILD HOME PVT. LTD. ON KAITHAL-KURUKSHETRA ROAD KM 2-3,0.007,Protected Forest (PF),16-04-2015,DFO Kaithal,3740,
Uttar Pradesh,9,Social Forestry Division Moradabad,Moradabad,APPROACH ROAD TO PETROL PUMP ON NH-49 IN KHASRA NO.110 (MORADABAD-KANTH) [23366],2011,"Moradabad Kaanth Marg, Gram Mau Khasra 110,",0.037,Protected Forest (PF),05-05-2015,DFO Social Forestry Division Moradabad,3870,
Uttarakhand,5,"DFO Badrinath, Gopeshwar","RO Middle Pindar, badrinath",GOVT.DEGREE COLLEGE TALWARI THALARI [11414],2002,talwari,1,Reserved Forest (RF),20-06-2015,"DFO Badrinath, Gopeshwar",4112,
Punjab,3,Hoshiarpur,Haryana,"Diversion area of 0.0162 ha of forest land for approach access road to Retail outlet of Indian Oil Corporation Limited situated at village Garhdiwala,",2019,Diversion area of 0.0162 ha of forest land for approach access road to Retail outlet of Indian Oil C,0.016,Protected Forest (PF),13-12-2021,DFO Hoshiarpur,12758,
Uttarakhand,5,"DFO Lansdowne, kotdwaar","RO Laldhang , Lansdowne",CONSTRUCTION OF SIMLANA MALLA DWSS [13017],1994,Forest Block Mungaun,0.095,Govt. Mangrove Forest RF,15-09-2015,"DFO Lansdowne, kotdwaar",5840,
Punjab,3,Ludhiana,Mattewara,"APPROACH ROAD TO RETAIL OUTLET OF BPC. LTD ON BASTI JODHEWAL CHOWK-RAHON ROAD, KM. 5-6 L/S AT VILLAGE MEHARBAN [22943]",2005,Basti-Jodhewal Chowk to Rahon road,0.021,Protected Forest (PF),15-09-2015,DFO Ludhiana,5857,
Uttarakhand,5,"DFO Uttarkashi, Uttarkashi","RO gangotri , Uttarkashi",BUS PARKING IN GANGOTRI [33402],2013,BUS PARKING IN GANGOTRI,0.378,Reserved Forest (RF),28-05-2016,"DFO Uttarkashi, Uttarkashi",7665,
Uttar Pradesh,9,Social Forestry Division Allahabad,Prayag,Km near High Court on NH-2 GT route. Construction of flyovers from 196 to 198 [40575],2017,Km near High Court on NH-2 GT route. Construction of flyovers from 196 to 198,1.326,Govt. Mangrove Forest PF,15-02-2021,DFO Social Forestry Division Allahabad,11760,
Uttar Pradesh,9,Social Forestry Division Ballia,Rasra,PATNA-BALIA TRANSMISION LINE BY POWER GRID CORP. OF INDIA LTD. (0.5060 HA.) [23651],2007,Mau Rasra S.H. (Lucknow Ballia Marg Km. 347-348),0.092,Protected Forest (PF),26-09-2014,DFO Social Forestry Division Ballia,2084,
Andhra Pradesh,28,WL Rajampet,Rajampet,"Telugu Ganga Project (10371.40 Diverted Area)(nellore,Nandyal,Prodattur,Chittoor) [2094]",2010,865,30,CA Land Received under FCA Proposal,15-02-2021,DFO WL Rajampet,11793,
Tamil Nadu,33,Dharmapuri,Dharmapuri,Laying of Kolar to Salem 400 KV Transmissions line in Barigam RF [31882],2000,Barigam RF & Nagarkoodal RF,15.215,Reserved Forest (RF),17-05-2017,DFO Dharmapuri,9096,
Punjab,3,Sangrur,Barnala,"RETAIL OUTLET AT DHANAULA-BHIKHI ROAD KM., 5-6 R/S FOREST DIVISION [21619]",2004,Dhanaula Bhiki Road km 5-6 rs,0.022,CA Land Received under FCA Proposal,16-11-2015,DFO Sangrur,6700,
Uttarakhand,5,"DFO Lansdowne, kotdwaar","RO Lansdowne, Lansdowne",RENEWAL OF LEASE FOR PIPELINE IN FAVOUR OF SRI RAVINDRA SHAH [19646],2001,Farsula Co. No. 1,0.056,Reserved Forest (RF),31-08-2015,"DFO Lansdowne, kotdwaar",5327,
Uttar Pradesh,9,Social Forestry Division Mau,Doharighat,765 KVS/C BALIA LUCKNOW TRANSMISSIION LINE [23302],2012,INDARA-DOHARIGHAT RAILWAY,0.128,Protected Forest (PF),12-04-2015,DFO Social Forestry Division Mau,1991,
Haryana,6,Kaithal,Pundri,APP. RD. TO RETAIL OUTLET OF HPCL AT VILL. KITHANA [17146],2006,Jind-Kaithal Road KM. 17-18,0.011,Protected Forest (PF),27-04-2015,DFO Kaithal,3769,
Haryana,6,Yamuna Nagar,Jagadhari,CONST. OF ROAD & BRIDGE FOR PUBLIC USE AND FOR 6 MW SMALL HEP M/S BHORUKA POWER CORPORATION LTD. AT VILALGE BALACHAUR [18741],2009,"Chhachhrauli Dadupur road Km 3-4 R, Jagadhri Dadupur road Near Dadupur, Forest Building",0.142,Protected Forest (PF),22-03-2018,DFO Yamuna Nagar,10175,
Punjab,3,Jalandhar,Jalandhar,"WIDNEING OF NAKODAR ROAD FORM DR. B.R. AMBEDKAR CHOWK TO SANT KABIR CHOWK, JALANDHAR [21976]",2010,Nakodar Road from Dr. B. R. Amebdkar Chow to Sant Kabir Chowk,2.39,Protected Forest (PF),09-12-2015,DFO Jalandhar,6897,
Punjab,3,Ludhiana,Ludhiana,APP. RD. TO MULTIPLEX-CUM-SHOPING MAILL NAME OMAXE PLAZA ON LUDHIANA-FEROZEPUR RD. [22278],2007,Ludhiana Ferozepur Road,0.032,Protected Forest (PF),13-09-2015,DFO Ludhiana,5795,
Odisha,21,Bonai,Koira,DIVERSION OF 45.118 HA OF ADDITIONAL FOREST LAND AND DEEMED DLC FOREST LAND FOR MINING AND ALLIED ACTIVITIES INCLUDING 8.036 HA OF FOREST LAND FOR SAF [10721],2011,Nadidihi,45.118,Deemed Forest,20-08-2016,DFO Bonai,7912,
Karnataka,29,Bellary,Sandur,Diversion of 0.675 ha. of forest land for the use of old approach road in D.M.Reserve Forest Block in Sandur Range of Bellary Forest Division in f/o M [2519],2010,D.M.Reserve Forest Block in Sandur Range of Bellary,0.675,Reserved Forest (RF),23-01-2017,RO Sandur,8076,
Himachal Pradesh,2,Rampur,Rampur,Stone Crusher [35873],2017,Mauza Pashada,0.991,Unclassified Forest,15-09-2018,DFO Rampur,10622,
Chhattisgarh,22,Jashpur,Pathalgaon,Widning & Upgrading of NH-78 to 2 Lane With Paved Solder from Ambikapur to Pathalgaon [42478],2015,Kh No. 217/3,0.186,Revenue Forest,06-05-2022,Pathalgaon,13412,
Andhra Pradesh,28,Paloncha,Ashwapuram,"Open Cast Mining Manuguru OCP Manuguru , 308.4 Ha [269]",1989,"Kondapur RF, Paloncha Division.",308.4,Reserved Forest (RF),30-07-2014,AP State Admin,1643,
Punjab,3,Sangrur,Lehrgaga,DIVERSION OF 281.8229 HA OF FOREST LAND FOR FOUR LANING OF NH-64 (PATIALA SANGRUR BARNALA BATHINDA ROAD) KM 64.000-209.5 B/S KM 64.000 TO 76.400 AND S [20082],2013,GBC RD 153-157 L/S,6,Protected Forest (PF),24-02-2021,DFO Sangrur,11940,
Uttarakhand,5,"DFO Bageshwar, Bageshwar","RO Dharamdhar , Bageshwar",KM 11 OF DHAPOLSERA RAWATSERA MOTOR ROAD TO SIMKUNA MR [30305],2009,Simkuna,0.755,Revenue Forest,21-09-2015,"DFO Bageshwar, Bageshwar",5930,
Himachal Pradesh,2,Rohru,Rohru,"Diversion of 2.8184 ha of forest land in favour of Sai Engineering Foundation Sai Bhawan Sector-4 New Shimla , for the construction of 5 MW Mini HEP [6446]",2019,UPF,2.818,CA Land Received under FCA Proposal,28-12-2016,DFO Rohru,8253,
Haryana,6,Rewari,Rewari,Diversion of 0.006998 ha for access to residential colony along rewari-garhi bolni road R/s. [27900],2013,Residential colony along rewari-garhi bolni road R/s. Km 3-4,0.007,Protected Forest (PF),08-02-2017,DFO Rewari,8506,
Arunachal Pradesh,12,"Sagalee Forest Division, Sagalee","Kheel Toru Forest Range, Kheel",PROPOSAL FOR DIVERSION OF 24.602 Ha OF FOREST LAND FOR CONSTRUCTION OF 132 KV D/C TL FROM PARE HEP TP NORTH LAKHIMPUR BY VAPI-II NORTH LAKHIMPUR TRANS,2022,SAGALEE FD,9.682,Unclassified Forest,15-02-2022,Arunachal Pradesh,13070,
Uttar Pradesh,9,Social Forestry Division Basti,Mehdawal,WIDENING OF 4 LANING IN KM.143.00 TO 240.600 OF NH-28 [23806],2005,MENHDAWAL-SANTHA MARG KM. 1-5,0,Proposed Protected Forest (Proposed PF),02-01-2015,DFO Social Forestry Division Basti,2908,
Punjab,3,Hoshiarpur,Hoshiarpur,Diversion 60.8669 ha (24.4240 ha in Jalandhar Forest Division and 36.4429 ha in Hoshiarpur Forest Division) of forest area for the purpose of 4-laning [34354],2017,Hoshiarpur,36.443,Protected Forest (PF),26-03-2018,DFO Hoshiarpur,10204,
Tamil Nadu,33,Nilgiris South,Kundah,"Laying pipeline and digging well in Maniapuram , Adigaratty RF [26138]",1994,"Maniapuram , Adigaratty RF	, Kundah range, Nilgiris South Division",0.009,Reserved Forest (RF),25-03-2019,DFO Nilgiris South,10854,
Punjab,3,Sangrur,Barnala,PERMISSION FOR 66 KV LINE FROM 220 KV S/S HIMMATPURA TO 66 KV S/S BHADOUR SC ON DC TOWER [20242],2011,Himmatpura to bhasour,0.054,Revenue Forest,26-09-2014,DFO Sangrur,2095,
Rajasthan,8,DCF Bhilwara,RANGE ASIND,Bijoliyan Khurd to Chhatri Khera via Mangarh [40296],2018,Rajpura 6.86,4.1,CA Land Received under FCA Proposal,02-08-2021,DFO DCF Bhilwara,12352,
Himachal Pradesh,2,Rohru,Khashdhar,111MW Sawra Kudu HEP(Addl.Land) ofm 0.6942 ha of forest land Ft.Divn Rohru Ft. Divn [6234],2019,UPF GatDhar,0.694,CA Land Received under FCA Proposal,29-12-2016,DFO Rohru,8265,
Tamil Nadu,33,Srivilliputhur WL,Rajapalayam,Construction of weir and chamber across Mudangiar River near Ayyanarkoil for providing Water supply to public. [31963],2014,Mudangiar River near,0.027,Reserved Forest (RF),09-12-2020,DFO Srivilliputhur WL,8302,
Uttarakhand,5,"DFO Almora , Almora","RO Almora , Almora",SYAHI DEVI DRINKING WATER SUPPLY SCHEME [30093],1986,syahidevi reserve,0.219,Reserved Forest (RF),28-08-2015,"DFO Almora , Almora",5194,
Karnataka,29,Hunasur,Periyapatna,"Diversion of 4.98 ha of forest land in Shettihalli, Lakkapatna R.F. Periyapatna Taluk for construction of canal under Harangi Project in favour of Irr [867]",1996,"Shettihalli, Lakkapatna R.F",4.98,Reserved Forest (RF),15-12-2017,DFO Hunasur,2730,
Odisha,21,Keonjhar,Badbil,MINING LEASE (BLOCK B) IN VILLAGE SOYABALI OF THAKURANI IRON ORE MINES IN FAVOUR OF SUNDARLAL SARDA AND MOHANLAL SARDA [11108],2001,Thakurani,2.428,Revenue Forest,09-05-2018,DFO Keonjhar,10384,
Haryana,6,Jhajjar(Central Rohtak),Bahadurgarh,Diversion of forest land 3.140 ha. construction and upgradation for Gurgaon Chandu Badli Bahadurgarh road (KM 18.360 to KM 28.170) [27897],2013,Diversion of forest land 3.140 ha. construction and upgradation for Gurgaon Chandu Badli Bahadurgarh,3.14,Protected Forest (PF),16-02-2017,DFO Jhajjar(Central Rohtak),8682,
Punjab,3,Patiala,Sirhind,Div of 3.93 Ha of forest land in favour of PWD and B&R for construction of four laining of Sirhind Ã¢ÂÂChunni-Landran Road (SH-12 A) Km 38 to 46.969 both,2019,Div of 3.93 Ha of forest land in favour of PWD and B&R for construction of four laining of Sirhind Ã¢ÂÂ,3.93,Protected Forest (PF),04-09-2021,DFO Patiala,12426,
Uttarakhand,5,"DFO Rudraprayag , Rudraprayag","RO Agastyamuni , Rudraprayag",DHUNADHAR BAND TO GANESHNAGAR MOTOR ROAD UNDER PMGSY(6.300 HA.) [30677],2009,Jagoth Civil,4.815,Revenue Forest,13-01-2015,"DFO Rudraprayag , Rudraprayag",3017,
Punjab,3,Jalandhar,Kapurthala,CONSTRUCTION OF 132 KV LINE FOR 132 KV TL FROM S/S SCIENCE CITY [21671],2003,CONSTRUCTION OF 132 KV LINE FOR 132 KV TL FROM S/S SCIENCE CITY,0.432,Protected Forest (PF),16-07-2017,DFO Jalandhar,9247,
Haryana,6,Kurukshetra,Pehowa,Diversion of 1.260 of forest land for laying of OFC for Bharti Airtel Ltd. from NH-65 Road Km 22-64 R/s under forest division and distt. kurukshetra [34203],2007,Ambala Hissar Road NH-65 Road Km 22-64 R/s,1.26,Protected Forest (PF),10-05-2018,DFO Kurukshetra,10421,
Odisha,21,Jharsuguda,Belpahar,Construction of 2 x 765 KV SC and DC transmission line from Angul Pooling Station to Jharsuguda Pooling Station at Kenapali by PGCIL [31697],2014,Betijharan PRF,15.5,Protected Forest (PF),30-01-2017,DFO Sambalpur North,8374,
Rajasthan,8,DCF Tonk,RANGE DEVLI,220KV TL FROM KOTA TO JAIPUR [13332],1986,DEVRAWAS,3.5,Protected Forest (PF),08-03-2018,DFO DCF Tonk,10066,
Punjab,3,Patiala,Samana,PETROL PUMP AT VILLAGE LALGARH ON SH-10 PATIALA- SAMANA ROAD [21713],2003,: PETROL PUMP AT VILLAGE LALGARH ON SH-10 PATIALA- SAMANA ROAD,0.244,Protected Forest (PF),27-11-2015,DFO Patiala,6753,
Tamil Nadu,33,Dharmapuri,Dharmapuri,Laying of road between Salem to Dharmapuri [33212],2008,Four laying of Road between Salem - Dharmapuri section favour of NHAI.,0.941,Reserved Forest (RF),27-01-2017,DFO Dharmapuri,8359,
Uttarakhand,5,"DFO Almora , Almora","RO Someshwar , Almora",ITAULA -BARSIMI LIGHT VEHICLE ROAD [23180],2001,itola,0.776,Revenue Forest,24-08-2015,"DFO Almora , Almora",5040,
Uttarakhand,5,"DFO Garhwal , Pauri","RO East ameli , Garhwal",UFRAIKHAL KALYANKHAL BASOLA DEYGHAT MOTOR ROAD [3001],2010,0,4.83,Revenue Forest,29-03-2016,"DFO Garhwal , Pauri",7536,
Punjab,3,Sangrur,Malerkotla,"PASSAGE TO FACTORY ON LUDHIANA-HISSAR RD. KM. 56-57 R/S, [23092]",2005,ludhiana-hisar road km 56-57 r/s,0.008,CA Land Received under FCA Proposal,28-07-2016,DFO Sangrur,7845,
Haryana,6,Bhiwani(West Circle Hissar),Bhiwani,APP.RD.TO RETAIL OUTLET BY ESSAR OIL LTD. AT VILL. CHANGE [17079],2010,AT VILL. CHANGE,0.008,Protected Forest (PF),24-11-2016,DFO Bhiwani(West Circle Hissar),8102,
Arunachal Pradesh,12,"Sagalee Forest Division, Sagalee","Sagalee Forest Range, Sagalee",Construction of 132 KV S/C on D/C Transmission line from Naharlagun to Gerukamukh under Comp. Scheme T & D in Arunachal Pradesh,2022,Gerukamukh,28.13,Reserved Forest (RF),08-06-2022,Arunachal Pradesh,13562,
Chhattisgarh,22,Balod,Dalli,MINING LEASE FOR PANDRI DALLI - RAJHARA HILL MINES OF BHILAI STEEL PLANT IN FAVOUR OF STEEL AUTHORITY OF INDIA LTD. (SAIL) [27339],2004,"Dondi, comp 142",5.03,Reserved Forest (RF),22-12-2020,DFO Balod,11487,
Punjab,3,Hoshiarpur,Hoshiarpur,Diversion of 0.0792 ha of forest land in Favour of PSPCL Ltd for laying of 66 KV Transmission line from 66 KV S/S Chabewal to M/s Ludhiana Beverages P,2021,Diversion of 0.0792 ha of forest land in Favour of PSPCL Ltd for laying of 66 KV Transmission line f,0.079,Protected Forest (PF),13-12-2021,DFO Hoshiarpur,12765,
Uttarakhand,5,"DFO Lansdowne, kotdwaar","RO Kotdwar, Lansdowne",SPAN BRIDGE ON MALAN RIVER IN KANWA ASHRAM [12152],2011,Malan Co. No. 2,0.504,Reserved Forest (RF),31-08-2015,"DFO Lansdowne, kotdwaar",5275,
Gujarat,24,Godhara,Halol,CONSTRUCTION OF ROPE WAY [14593],1985,CONSTRUCTION OF ROPE WAY,0.72,Reserved Forest (RF),10-06-2015,DFO Godhara,3998,
Uttarakhand,5,"DFO Terai East , Haldwani","RO Jaulasal sudalimat, TEFD",CONSTRUCTION OF KHASSIBAGH TO ACHATA MOTOR ROAD UNDER PM ROAD [10262],2006,"Sudlimath II 2B, 1B, 9B, 9B, Bera 3",5.4,Govt. Mangrove Forest RF,05-05-2015,"DFO Terai East , Haldwani",3872,
Madhya Pradesh,23,Balaghat North(T),North Lamta,11 KV NATA BARIA [1839],1996,"Compartment No. 358/1159, 363/1164, 365/1166",2.436,Govt. Mangrove Forest RF,20-07-2015,DFO Balaghat North(T),4325,
Gujarat,24,Gandhinagar,Dharoi,LAYING WATER PIPELINEDANTA VADGAON PALANPUR WATER SUPPLY SCHEME [17963],2002,LAYING WATER PIPELINEDANTA VADGAON PALANPUR WATER SUPPLY SCHEME,0.012,Reserved Forest (RF),30-03-2015,DFO Gandhinagar,3602,
Punjab,3,Ludhiana,Samrala,M/S Best Resorts [37985],2019,"Khanna-Samrala Road at KM 5.782 (L.H.S),",0.009,Protected Forest (PF),15-02-2021,DFO Ludhiana,11784,
Uttar Pradesh,9,Social Forestry Division Bulandshahar,Amiya,WEDNING OF NH-91GHAJIABAD KM.23.600TO 26.00 2TO 4 LANE& 273 TREES FAILING. [23468],2010,Kurja - Pahasu Road Km - 3 -19,6.36,Proposed Protected Forest (Proposed PF),23-03-2015,DFO Social Forestry Division Bulandshahar,3554,
Punjab,3,Patiala,Rajpura,APP. RD. TO RETAIL OUTLET OF HPC. LTD AT VILL.CHAMARHERI [20745],2006,L OUTLET OF BPCL,0.093,Protected Forest (PF),09-09-2015,DFO Patiala,4612,
Punjab,3,Mansa,Mansa,SETTING UP INDUSTRIAL UNIT (EXTRACTION PLANT) AT VILLAGE NANGAL KHURD ON JAWAHERKA NANGAL LINK ROADMANSA [21468],2004,Jawaharke Nanagal link road,0.002,Protected Forest (PF),25-07-2018,DFO Mansa,10545,
Punjab,3,Bathinda,Bathinda,APP.RD.TO RESIDENTIOL COLONY GANOATI ENCLAVE [22722],2006,Forest land for approach road to residential colony Ganpati Enclave on Bathinda Dabwali Road KM 4-5,0.027,Protected Forest (PF),09-08-2017,DFO Bathinda,9536,
Tripura,16,Trishna Wildlife Sanctuary,Rajnagar WL Range,Diversion of 2.27 ha of forest land for exploratory drilling operation & waste pit at drill site Raj 'B' in Trishna under Bagafa Forest. South Tripura [1232],1998,Exploratory drilling operation & waste pit at drill site Raj 'B'.,2.27,Protected Forest (PF),22-11-2013,TR State Admin,1067,
